Zone,NM,Expected Local File,BG-Wiki Page
La Theine,Adamastor,assets/nms/la_theine/adamastor.png,https://www.bg-wiki.com/ffxi/Adamastor
La Theine,Akash,assets/nms/la_theine/akash.png,https://www.bg-wiki.com/ffxi/Akash
La Theine,Baba Yaga,assets/nms/la_theine/baba_yaga.png,https://www.bg-wiki.com/ffxi/Baba_Yaga
La Theine,Briareus,assets/nms/la_theine/briareus.png,https://www.bg-wiki.com/ffxi/Briareus
La Theine,Carabosse,assets/nms/la_theine/carabosse.png,https://www.bg-wiki.com/ffxi/Carabosse
La Theine,Chasmic Hornet,assets/nms/la_theine/chasmic_hornet.png,https://www.bg-wiki.com/ffxi/Chasmic_Hornet
La Theine,Dozing Dorian,assets/nms/la_theine/dozing_dorian.png,https://www.bg-wiki.com/ffxi/Dozing_Dorian
La Theine,Grandgousier,assets/nms/la_theine/grandgousier.png,https://www.bg-wiki.com/ffxi/Grandgousier
La Theine,Hadhayosh,assets/nms/la_theine/hadhayosh.png,https://www.bg-wiki.com/ffxi/Hadhayosh
La Theine,Irrlicht,assets/nms/la_theine/irrlicht.png,https://www.bg-wiki.com/ffxi/Irrlicht
La Theine,Karkinos,assets/nms/la_theine/karkinos.png,https://www.bg-wiki.com/ffxi/Karkinos
La Theine,Keesha Poppo,assets/nms/la_theine/keesha_poppo.png,https://www.bg-wiki.com/ffxi/Keesha_Poppo
La Theine,Mangy-tailed Marvin,assets/nms/la_theine/mangy_tailed_marvin.png,https://www.bg-wiki.com/ffxi/Mangy-tailed_Marvin
La Theine,Meditator,assets/nms/la_theine/meditator.png,https://www.bg-wiki.com/ffxi/Meditator
La Theine,La Theine Liege,assets/nms/la_theine/la_theine_liege.png,https://www.bg-wiki.com/ffxi/La_Theine_Liege
La Theine,Lugarhoo,assets/nms/la_theine/lugarhoo.png,https://www.bg-wiki.com/ffxi/Lugarhoo
La Theine,Megantereon,assets/nms/la_theine/megantereon.png,https://www.bg-wiki.com/ffxi/Megantereon
La Theine,Megamaw Mikey,assets/nms/la_theine/megamaw_mikey.png,https://www.bg-wiki.com/ffxi/Megamaw_Mikey
La Theine,Nahn,assets/nms/la_theine/nahn.png,https://www.bg-wiki.com/ffxi/Nahn
La Theine,Nguruvilu,assets/nms/la_theine/nguruvilu.png,https://www.bg-wiki.com/ffxi/Nguruvilu
La Theine,Ovni,assets/nms/la_theine/ovni.png,https://www.bg-wiki.com/ffxi/Ovni
La Theine,Pantagruel,assets/nms/la_theine/pantagruel.png,https://www.bg-wiki.com/ffxi/Pantagruel
La Theine,Piasa,assets/nms/la_theine/piasa.png,https://www.bg-wiki.com/ffxi/Piasa
La Theine,Poroggo Dom Juan,assets/nms/la_theine/poroggo_dom_juan.png,https://www.bg-wiki.com/ffxi/Poroggo_Dom_Juan
La Theine,Ruminator,assets/nms/la_theine/ruminator.png,https://www.bg-wiki.com/ffxi/Ruminator
La Theine,Toppling Tuber,assets/nms/la_theine/toppling_tuber.png,https://www.bg-wiki.com/ffxi/Toppling_Tuber
La Theine,Brooder,assets/nms/la_theine/brooder.png,https://www.bg-wiki.com/ffxi/Brooder
La Theine,Trudging Thomas,assets/nms/la_theine/trudging_thomas.png,https://www.bg-wiki.com/ffxi/Trudging_Thomas
Konschtat,Alkonost,assets/nms/konschtat/alkonost.png,https://www.bg-wiki.com/ffxi/Alkonost
Konschtat,Arimaspi,assets/nms/konschtat/arimaspi.png,https://www.bg-wiki.com/ffxi/Arimaspi
Konschtat,Ashtaerh the Gallvexed,assets/nms/konschtat/ashtaerh_the_gallvexed.png,https://www.bg-wiki.com/ffxi/Ashtaerh_the_Gallvexed
Konschtat,Bakka,assets/nms/konschtat/bakka.png,https://www.bg-wiki.com/ffxi/Bakka
Konschtat,Balaur,assets/nms/konschtat/balaur.png,https://www.bg-wiki.com/ffxi/Balaur
Konschtat,Bloodeye Vileberry,assets/nms/konschtat/bloodeye_vileberry.png,https://www.bg-wiki.com/ffxi/Bloodeye_Vileberry
Konschtat,Bloodguzzler,assets/nms/konschtat/bloodguzzler.png,https://www.bg-wiki.com/ffxi/Bloodguzzler
Konschtat,Bombadeel,assets/nms/konschtat/bombadeel.png,https://www.bg-wiki.com/ffxi/Bombadeel
Konschtat,Clingy Clare,assets/nms/konschtat/clingy_clare.png,https://www.bg-wiki.com/ffxi/Clingy_Clare
Konschtat,Eccentric Eve,assets/nms/konschtat/eccentric_eve.png,https://www.bg-wiki.com/ffxi/Eccentric_Eve
Konschtat,Fear Gorta,assets/nms/konschtat/fear_gorta.png,https://www.bg-wiki.com/ffxi/Fear_Gorta
Konschtat,Fistule,assets/nms/konschtat/fistule.png,https://www.bg-wiki.com/ffxi/Fistule
Konschtat,Gangly Gean,assets/nms/konschtat/gangly_gean.png,https://www.bg-wiki.com/ffxi/Gangly_Gean
Konschtat,Guimauve,assets/nms/konschtat/guimauve.png,https://www.bg-wiki.com/ffxi/Guimauve
Konschtat,Keratyrannos,assets/nms/konschtat/keratyrannos.png,https://www.bg-wiki.com/ffxi/Keratyrannos
Konschtat,Kukulkan,assets/nms/konschtat/kukulkan.png,https://www.bg-wiki.com/ffxi/Kukulkan
Konschtat,Raskovnik,assets/nms/konschtat/raskovnik.png,https://www.bg-wiki.com/ffxi/Raskovnik
Konschtat,Tonberry Lieje,assets/nms/konschtat/tonberry_lieje.png,https://www.bg-wiki.com/ffxi/Tonberry_Lieje
